Incorrect Sentence,Correct Sentence
She wants to learn how to play the violin this year.,She wants to learn how to play the violin this year.
The dog is very friendly and loves to play fetch.,The dog is very friendly and loves to play fetch.
The store is closed today because of the holiday.,The store is closed today because of the holiday.
The plants needs to be watered every day.,The plants need to be watered every day.
"The movie was scary, but I enjoyed watching it.","The movie was scary, but I enjoyed watching it."
He was very tired after working all day.,He was very tired after working all day.
The new restaurant serves delicious food.,The new restaurant serves delicious food.
She was very excited about her upcoming vacation.,She was very excited about her upcoming vacation.
The doctor told him to get plenty of rest and fluids.,The doctor told him to get plenty of rest and fluids.
1. She always be triying new things.,1. She always tries new things.
2. John and me went to the store yesterday.,2. John and I went to the store yesterday.
3. The books is on the shelf in the library.,3. The book is on the shelf in the library.
4. The car needs to be wash before we go.,4. The car needs to be washed before we go.
"5. If you could met any celebrity, who would it be?","5. If you could meet any celebrity, who would it be?"
"6. The performence was amazing, I enjoyed alot.","6. The performance was amazing, I enjoyed a lot."
7. She prefered to eat apple instead of orange.,7. She preferred to eat an apple instead of an orange.
8. Can you tell me were the nearest bank are?,8. Can you tell me where the nearest bank is?
"9. He was very tired, so he layed down on the couch.","9. He was very tired, so he lay down on the couch."
10. I'm going to the gym to excersise for an hour.,10. I'm going to the gym to exercise for an hour.
11. The company is launching a innnovative product soon.,11. The company is launching an innovative product soon.
12. This plants need water everyday to grow well.,12. These plants need water every day to grow well.
13. She was very upset and started to cryed.,13. She was very upset and started to cry.
14. The cake needs to be baked in 350 degress for 30 minutes.,14. The cake needs to be baked at 350 degrees for 30 minutes.
